tweet,likes_count,tweetFiltrado,topico
new ios 16 lock screen.. it feels like how you customize the complications on the apple watch. notifications roll in from the bottom. #wwdc22  https://t.co/2rxsckch7k,4436,io 16 lock screen feel customize complication apple watch notification roll bottom,3
apple unveils customizable lockscreen for ios 16. #wwdc22  https://t.co/bs1iv0ai3k,4311,apple unveils customizable lockscreen io 16,3
"3 new features are coming to messages in ios 16.   you will be able to edit sent messages, undo sending messages entirely and mark read conversations as unread.  #wwdc22  https://t.co/nj9jslaefw",3613,3 feature coming message io 16 edit message undo sending message entirely mark read conversation unread,3
that new ios 16 lock screen! ! #wwdc22  https://t.co/z3qjwvt87a,3393,io 16 lock screen ,3
like this tweet for a special animation!  (us only)  #wwdc22  https://t.co/2xsrgxbhlm,2950,tweet special animation,5
apple adds undo send and new dictation tools to messages in ios 16 #wwdc22  https://t.co/whs2pnko4u  https://t.co/hhy0ly7g7n,2670,apple add undo send dictation tool message io 16,3
ladies and gentlemen... the m2 pro #wwdc22  https://t.co/zhwtbyxurx,2626,lady gentleman m2 pro,8
apple announces apple pay later.   this allows you to split a payment into 4 equal payments over 6 weeks at 0% interest. #wwdc22  https://t.co/ptgcajze4z,2430,apple announces apple pay allows split payment 4 equal payment 6 week 0 interest,0
new imessage updates! you can mark threads as “unread”  you’ll be able to edit messages that were already sent and even undo a send!!  #wwdc22  https://t.co/q2ak1lv57p,2411,imessage update mark thread unread edit message undo send,3
the most important takeaway from apples #wwdc22 is that epstein didn't kill himself and ghislaine maxwell's client list has still not been published.,2086,takeaway apple epstein kill ghislaine maxwell client list published,0
new updates to the lock screen! #wwdc22  https://t.co/4jcrlee8gc,2074,update lock screen,3
a national treasure. #wwdc22  https://t.co/laggpeunjx,1979,national treasure,0
apple pay later allows you to split a bill into 4 payments over 6 weeks with zero interest in ios 16 #wwdc22  https://t.co/zozqnagxq4,1950,apple pay allows split bill 4 payment 6 week interest io 16,0
"this is ios 16, coming later this year  #wwdc22  https://t.co/mfdr85slvl",1833,io 16 coming year,3
this man is a treasure! we need to protect him at all costs! #wwdc22  https://t.co/lhwdmrfsvl,1831,man treasure protect cost,0
like for a cool animation! (only works on certain devices) #wwdc22,1786,cool animation work device,0
this guy  #wwdc22  https://t.co/bwsdosluth,1602,guy,0
excited to see friends again! also ready for new apple announcements! weeeeeeee! #wwdc22  https://t.co/t9uoiu6kpk,1601,excited friend ready apple announcement weeeeeeee,5
"newly redesigned carplay is actually quite nice. this stat was pretty interesting.. car play is vailable in 98% of cars and 79% of us buyers would only consider carplay-capable vehicles!   tesla plzzz consider..  love, justine  #wwdc22  https://t.co/ooebxqlo65",1596,newly redesigned carplay nice stat pretty interesting car play vailable 98 car 79 buyer consider carplay-capable vehicle tesla plzzz consider love justine,1
continuity camera: use your iphone as a webcam! the coolest thing is being able to go to desk view.. it uses the wide angle camera to show both the desk and you in the same shot! whoa!   #wwdc22  https://t.co/3l5renl9ge,1552,continuity camera iphone webcam coolest thing desk view wide angle camera desk shot whoa,7
tim and craig on stage!! #wwdc22  https://t.co/mz4i0www47,1428,tim craig stage,5
capcom just showed up to talk resident evil village for mac at #wwdc22  https://t.co/2wkj4pmzif,1405,capcom talk resident evil village mac,0
breaking: i accidentally screenshotted a perfect meme template #wwdc22  https://t.co/lk1anfjios,1390,breaking accidentally screenshotted perfect meme template,0
"apple's new safety check feature will aid those in abusive relationships by letting you review and revoke access to certain people, including location, accounts, passwords, and more.   follow #wwdc22 live right here:  https://t.co/azeujbvkt3",1323,apple safety check feature aid abusive relationship letting review revoke access people including location account password follow live,2
here it is.. the m2 chip! ..and the first mac to get this will be the new redesigned macbook air!   #wwdc22  https://t.co/ilrcn4m04f,1251,m2 chip mac redesigned macbook air,8
it’s almost time! #wwdc22  https://t.co/4eek6gwkv2,1240,time,0
"did apple just make the most customisable smartphone lockscreen ever on ios 16?  i didn't expect that coming from apple, honestly.   #wwdc22  https://t.co/jwb4r4ckjd",1221,apple customisable smartphone lockscreen io 16 expect coming apple honestly,3
color-matched cables.  #wwdc22  https://t.co/sexozvhpqd,1148,color-matched cable,0
obsessed with this new compact power adapter.. take my money  #wwdc22  https://t.co/5w2jgcmck2,1147,obsessed compact power adapter money,1
"your apple lock screen is about to be upgraded.    ability to press and hold to customize lock screen with fonts, colors, and widgets  create and customize multiple lock screens to switch between  lock screens will now (finally) include widgets.   #wwdc22  https://t.co/oeidjdbbtv",1120,apple lock screen upgraded ability press hold customize lock screen font color widget create customize multiple lock screen switch lock screen finally include widget,3
they did it. they finally did it.  #wwdc22  https://t.co/goandxtx2f,1098,finally,0
this is the new macbook air #wwdc22  https://t.co/ahvyzrgfol,1034,macbook air,8
all ios 16 users will be able to use the fitness app without an apple watch #wwdc22  https://t.co/2frbmnxbkt,1000,io 16 user fitness app apple watch,9
ios 16 features a new lock screen #wwdc22  https://t.co/8afabmqhs9,996,io 16 feature lock screen,3
next gen apple carplay with multiple display support! #wwdc22  https://t.co/7wvbiwy6ld,993,gen apple carplay multiple display support,0
