tweet,likes_count,tweetFiltrado,topico
"#russia #may9th: tv systems have been hacked for may 9th. message: ""your hands are covered in blood from deaths of thousands of ukrainians and children.""  https://t.co/8sy2w3mb8e",25399,mayth tv system hacked message hand covered blood death thousand ukrainian child,3
11k soldiers in parade in #moscow. 25.6 k #russia soldiers lie dead in #ukraine soil. that’s 25 650 to be exact. twice as much as on that parade of shame  https://t.co/kteykk3we0,22227,soldier parade moscow  soldier lie dead ukraine soil exact parade shame,0
"a tally of russian losses from the infamous failed russian siverskyi donets river crossing near bilohorivka. in total 73 russian equipment were destroyed/abandoned, including a btg worth of afvs.  great thanks to j.p. for counting and sending it to me.  1/2 #russia #ukraine  https://t.co/fyktpogg8z",20098,tally loss infamous failed siverskyi donets river crossing bilohorivka total equipment destroyedabandoned including btg worth afvs great jp counting sending  ukraine,4
over 70 cargo ships are blocked in the black sea by #russia. that’s 90 mln tons of agricultural produce intended for africa and asia. #ukraine loses usd 170 mln a day because of the blockade and the world loses a reliable food supplier,16085,cargo ship blocked black sea mln ton agricultural produce intended africa asia ukraine loses usd mln day blockade world loses reliable food supplier,4
"alisa, age 4, arrived in zaporizhia, #ukraine alone on an evacuation bus from mariupol.   she and her mother viktoria obidina, a military medic, were evacuated from azovstal. but #russia-backed militants detained viktoria along the way. she's now likely in a ""filtration camp.""  https://t.co/xnomh646hm",15252,alisa age  arrived zaporizhia ukraine evacuation bus mariupol mother viktoria obidina military medic evacuated azovstal russiabacked militant detained viktoria filtration camp,3
"people with #russia flags have a nice party in vienna downtown - while people with #ukraine flags get removed. dear austria, how is it even possible in the middle of #putinswar and all russian war crimes? shame on you, @lpdwien!  #stopputinnow #standwithukraine  https://t.co/5mkbzqpghl",13229,people flag nice party vienna downtown  people ukraine flag removed dear austria middle putinswar war crime shame lpdwien stopputinnow standwithukraine,3
the #ukrainian military reached the state border of #ukraine and #russia.  https://t.co/8nlojfgd5d,12896,ukrainian military reached state border ukraine,1
"#russia: pussy riot member, outspoken #putin critic &amp; human rights activist maria alyokhina managed to evade home arrest by donning a food delivery courier outfit and escape russia! hero.  https://t.co/cohc7vgier",12112,pussy riot member outspoken putin critic human right activist maria alyokhina managed evade arrest donning food delivery courier outfit escape hero,6
russian armoured column targeted and destroyed by the ukrainian 54th mechanized brigade in donetsk oblast. #russia #ukraine  https://t.co/duzs2chiuc,11557,armoured column targeted destroyed ukrainian mechanized brigade donetsk oblast ukraine,7
"while the greek community suffers in #mariupol from russian bombs, #greece continues business as usual with #russia. greek government protests ban on shipping  russian oil, clearly weakening the 6th #eu sanction package. really, greece?",10032,greek community suffers mariupol bomb greece continues business usual greek government protest ban shipping oil clearly weakening eu sanction package greece,5
