CardId	Year	Conference	tweetFiltrado
0	2001	1	may9th;tv;system;hacked;9th;message;hand;covered;blood;death;thousand;ukrainian;child
1	2002	0	11k;soldier;parade;moscow;256;soldier;lie;dead;ukraine;soil;25;650;exact;parade;shame
2	2008	7	tally;loss;infamous;failed;siverskyi;donets;river;crossing;bilohorivka;total;73;equipment;destroyedabandoned;including;btg;worth;afvs;great;jp;counting;sending;12;ukraine
3	2011	0	70;cargo;ship;blocked;black;sea;90;mln;ton;agricultural;produce;intended;africa;asia;ukraine;loses;usd;170;mln;day;blockade;world;loses;reliable;food;supplier
4	2019	0	alisa;age;4;arrived;zaporizhia;ukraine;evacuation;bus;mariupol;mother;viktoria;obidina;military;medic;evacuated;azovstal;russiabacked;militant;detained;viktoria;filtration;camp
5	2009	0	people;flag;nice;party;vienna;downtown;;people;ukraine;flag;removed;dear;austria;middle;putinswar;war;crime;shame;lpdwien;stopputinnow;standwithukraine
6	2015	0	ukrainian;military;reached;state;border;ukraine
7	2020	3	pussy;riot;member;outspoken;putin;critic;human;right;activist;maria;alyokhina;managed;evade;arrest;donning;food;delivery;courier;outfit;escape;hero
8	2002	7	armoured;column;targeted;destroyed;ukrainian;54th;mechanized;brigade;donetsk;oblast;ukraine
9	2009	8	greek;community;suffers;mariupol;bomb;greece;continues;business;usual;greek;government;protest;ban;shipping;oil;clearly;weakening;6th;eu;sanction;package;greece
10	2001	0	mp;poland;denazification;support;ukraine;danger;threat;aggression;country;reformed;inside
11	2008	9	historic;building;fire;center;irkutsk
12	2001	0	church;blesses;weapon;army;kill;ukrainian;blessed;missile;dubbed;satan;insanity;continues
13	2010	7	absolute;disastrous;attempt;cross;seversky;donets;river;donetsk;oblast;defeat;handed;ukraine;17th;separate;tank;brigade;stepanklimov;ukraine
14	2001	0	ukrainian;military;unit;pushed;border;reinstalled;ukraine;border;sign;kharkiv;region;start;work
15	2009	0	ukrainian;paratrooper;destroying;tank;fgm148;javelin;battle;eastern;front;ukraine
16	2005	6	mcdonalds;announced;final;decision;leave;company;business;sold
17	2010	0	rarely;footage;ukrainian;force;launching;brimstone;missile;target;ht;globalgeonews;ukraine
18	2000	0	justin;trudeau;jill;biden;bono;u2;high;ranking;official;country;ukraine;critical;day;international;presence;sends;clear;message;attack;ukraine;attack
19	2000	0	furious;nato;enlargement;desperately;searching;way;attack;occupy;neighbour;help
20	2003	0	belgian;shepherd;dog;serve;national;guard;owner;liquidated;dog;learned;command;ukrainian;month;join;ukrainian;national;guard;report;newspaper;segodnya
21	2005	0	27200;soldier;killed;ukraine;1015;town;village;freed;ukrainian;army;fighting;peopleof;mariupol;kherson;melitopol;berdiansk
22	2009	7	ukraine;ukrainian;force;destroyed;bridging;attempt;seversky;donets;pontoon;bridge;vehicle;destroyed
23	2015	0	ukrainian;armed;force;reinstalling;border;pole;ukraine;kharkiv;oblast;ukrainian;armed;force;pushed;troop;country
24	2023	9	reported;shell;netherlands;supplied;ukraine;bear;word;revenge;mh17;2014;buk;downed;flight;mh17;killed;298;passenger;dutch;denies;involvement;refuse;pay;compensation
25	2012	0	openly;threatening;war;poland;state;duma;proposed;putting;poland;denazification;ria;novosti;reported;remember;attack;nato;country;accelerated;denazification;state;duma
26	2005	0	;mcdonalds;sell;850;store
27	2021	0	world;sanctioning;map;world;fyi;geez;guess;bucket;list;smaller;world;shrunk
28	2012	3	czech;republic;elected;human;right;council;kicked;disgrace;czech;republic;retain;seat;december;31;2023
29	2008	0	bit;talk;putin;face;saving;badly;leave;ukrainian;land;save;face;ukrainian;keep;crushing;slavaukraini
30	2004	0	lithuanian;parliament;unanimously;recognized;terrorist;state;report;lrtenglish;decision;connection;numerous;war;crime;invader;ukraine;occupier;atrocity;hallmark;organized;genocide
31	2003	0	kharkiv;village;report;unhered;northeastern;front;gun;firing;2;side;20km;understand;scale;russia;war;ukraine;;thread
32	2007	0	losing;battle;kyiv;losing;battle;kharkiv;focus;battle;donbas;south;putin;loser;ukrainewillwin;russianukrainianwar;armukrainenow
33	2009	7	rare;combat;footage;ukrainian;serviceman;finishing;tank;fgm148;javelin;missile;ukraine
34	2007	0	9;militarisation;society;child;dressed;soldier;army;future;generation;poisoned;fake;myth;war;normalized;collective;conscious;million
35	2009	0	video;showing;armoured;column;42nd;guard;motor;rifle;division;coming;ukrainian;attack;ht;lostweapons;ukraine
36	2014	0	putin;continues;evacuation;wounded;soldier;azovstal;defying;international;law;ignoring;rule;humanitarian;law;showing;savagery;brutality;usual
37	2001	1	today;teletexts;state;blood;hand;thousand;ukrainian;hundred;child;killed;tv;authority;lie;war
38	2011	0	bmps;destroyed;entering;minefield;ukraine
39	2002	0	2100;missile;3;month;continues;destroy;ukraine
40	2012	0	footage;ukrainian;special;unit;kraken;counterattack;operation;pytomnyk;kharkiv;oblast;day;ago;ukraine
41	2011	0	omsk;conscription;office;pelted;molotov;cocktail;window;4am;night;fire;extinguished;conscription;database;stored;paper;office;3rdworld;country;russianresistance;attempt;prevent;mobilization
42	2009	0	wounded;defender;azovstal;mariupol;antibiotic;painkiller;ukraine;warcrimes
43	2009	0	poland;blocked;transporting;gas;yamaleurope;pipeline;territory;ukraine
44	2013	0	video;;ukrainian;force;setting;pontoon;bridge;ukraine;unknown;ht;5inan;ukraine
45	2008	7	ukraine;latvian;volunteer;ukrainian;force;captured;t72b;tank;exact;location;unknown
46	2014	8	annual;inflation;accelerated;1777;second;week;row;report;stateowned;news;agency;ta
47	2015	7	successful;operation;ukraine;tractor;brigade;green;tractor;abducting;tos1;multiple;rocket;launcher
48	2014	0	multiple;report;ukrainian;troop;reached;border;kharkiv;oblast
49	2005	0	kharkiv;bombed;order;general;zhuravlev;commanded;force;aleppo;bombing;number;killing;man;hand;
50	2002	4	may9th;air;force;portion;victory;parade;celebrating;ten;million;died;ww2;canceled;inclement;weather;dmitry;peskov;fascist;putin;press;secretary;plane;participating;circus
51	2005	4	warsaw;poland;russia;ambassador;red;paint;thrown;visit;ww2;military;cemetery
52	2007	0	polish;president;andrzej;duda;belief;forced;pay;reparation;ukraine;deeply;international;community;force;pay;indemnity;rebuild;destroyed;ukraine
53	2001	9	cost;produce;t72;build;school;70;day;1050;russsian;tank;destroyed;ukraine;1050;school;ten;thousand;child;deprived;education;facility
54	2011	4	may9th;parade;work;relative;achievement;;sign;sign;classroom;handed;march;parade
55	2011	0	ukrainian;bm27;uragan;mrlss;ripping;military;hardware;piece;spiritofkabanah;ukraine
56	2006	0	annex;kherson;obl;fake;referendum;local;puppet;governt;address;putin;ru;issue;decree;1;ru;feel;stable;occupied;area;afford;fake;referendum;2014;local;support
57	2011	7	three;abandoned;btrs;destroyed;bmp;damaged;mbt;failed;attack;thwarted;ukraine;95th;air;assault;brigade;ukraine
58	2008	4	going;withdraw;ambassador;poland;expel;polish;ambassador;country;ambassador;wash;face
59	2000	8	japan;ban;export;hightech;good;report;ria;novosti;ban;affect;3d;printer;quantum;computer;electron;microscope
60	2016	0	8;hour;north;kremlin;cherepovets;conscription;office;set;fire;data;electronic;3rd;world;country;sabotage;directly;impact;putin;ability;mobilize;destruction;paper;record
61	2012	7	ukrainian;53rd;mechanized;brigade;artillery;score;direct;hit;afv;ukraine
62	2010	0	military;munition;depot;blown;khabarovsk;krai;close;japan;russianresistance;12;military;casualty;reported;motorized;rifle;brigade;khabarovsk;region;carried;massacre;bucha;ukraine;stock;photo
63	2002	0	man;front;destroyed;building;cook;breakfast;sunday;morning;ukraine;continues;support;stopped
64	2005	9	37;civilian;killed;7;road;uniting;village;town;ukraine;yasnohorodkamotyzhyn;body;uncovered;today
65	2009	0	putin;predicts;record;harvest;grain;year;grain;stole;ukraine;bulk;carrier;matros;pozynich;carrying;looted;grain;currently;syrian;port;latakia;unloading
66	2016	0	moved;rocket;launcher;border;ukraine;heavy;rocket;strike;expected;ukraine;tonight;early;morning;hour
67	2010	9	siberia;19;village;burned;latest;forest;fire;typically;army;job;permanently;unavailable;literally;infrastructure;fight;fire;shitshow
68	2009	3	general;assembly;elected;czechrepublic;seat;human;right;council;vacated;april;2022;czech;republic;retains;seat;31;december;2023;czechunny;czechmfa
69	2011	0	2;ukrainian;artillery;attack;forward;base;zabavne;kharkiv;oblast;ukraine
70	2011	3	volodymyr;zelensky;called;officially;recognize;state;sponsor;terrorism;count;support;united;state;strengthening;sanction;addition;officially;recognized;state;sponsor;terrorism
71	2007	4	saint;petersburg;man;antiwar;banner;official;victory;parade;spoiler;detained
72	2001	0	boobytrapped;piano;10;yo;girl;bucha;child;award;displayed;wrong;order;course;mother;noticed;tragedy;prevented;everyday;reminder;cruelty;ukraine
73	2011	7	exact;moment;ukrainian;artillery;struck;pontoon;bridge;bilohorivka;day;ago;ukraine
74	2002	0	ship;leaving;occupied;sevastopol;flag;carry;grain;stolen;ukraine;destination;syria;continues;steal;food;agricultural;produce;ukraine
75	2013	0	sanction;forcing;computer;chip;dishwasher;refrigerator;military;equipment
76	2013	0	russian;released;video;interrogation;torture;civilian;kherson;making;admit;crime;commit;extreme;duress;note;wire;attached;ear;torture;electrocution;ukraine;warcrimes
77	2002	0	moment;strike;destruction;t90m;mbt;ukrainian;tdf;staryi;saltiv;kharkiv;oblast;ukraine
78	2008	0	azovstal;mariupol;russian;started;blowing;entrance;underground;passage;beneath;factory;compound;revealed;exshift;supervisor;plant;turned;traitor;collaborator;ukraine;warcrimes
79	2013	0	great;country;;great;central;street;lipetsk
80	2006	6	breaking;threatens;military;measure;eliminate;threat;posed;sweden;finland;accession;nato
81	2010	0	riga;parliament;voted;demolition;monument;soviet;soldier;governor;leningrad;region;proposal;pick;riga;install
82	2013	0	video;azov;combatant;raiding;position;azovstal;area;mariupol;city;ukraine
83	2003	7	reportedly;tank;destroyed;fgm148;javelin;ukrainian;25th;airborne;brigade;ukraine
84	2002	7	footage;building;army;ammunition;depot;destroyed;ukrainian;territorial;defense;force;azov;;dnipro;ukraine
85	2015	0	chancellor;scholz;accused;putin;lack;realism;telephone;conversation;putin;harm;scholz;stressed;pointing;russia;growing;technological;isolation;result;sanction
86	2009	0	volodymyr;zelenskyy;recorded;video;thanking;military;127th;brigade;reached;state;border
87	2002	2	freedom;legion;published;photo;fighter
88	2010	0	ukraine;captured;gaztigrm;imv;repainted;ukrainian;army;camo
89	2009	0	pow;dnrlnr;east;normal;meal;weapon;training;experience;cannon;fodder;russia;imperial;dream;time;wake;fuck;glory;ukraine
90	2008	0	mayor;kyiv;40;monument;connected;ussr;dismantled;capital
91	2008	0	russia;international;reserve;fell;billion;dollar;week
92	2014	0	irony;tomorrow;celebrating;war;europe;time;declared;war;europe;slavaukraine
93	2013	4	congratulate;anniversary;victory;day
94	2007	5	think;capture;odesa;large;presence;warship;black;sea;continuous;reinforcement;crimeakherson;regional;boundary;mlrs;rocket;launcher;indication;push;coming
95	2003	8	expelled;international;gas;union;report;interfax
96	2001	7	video;ukrainian;92nd;mechanized;brigade;battle;eastern;front;ukraine
97	2011	7	drone;footage;showing;number;equipment;destroyed;result;ukrainian;81st;airmobile;brigade;artillery;strike;ukraine
98	2010	0	mbt;nlaw;kharkiv;oblast;herooftheday10;ukraine
99	2012	7	dronedropped;strike;ukrainian;93rd;mechanized;brigade;tank;izyum;axis;kharkiv;oblast;ukraine
100	2004	0	ally;continue;police;sky;nato;eastern;flank;ensuring;security;allied;air;space;247365;response;russia;invasion;ukraine;;nato;30;aircraft;patrol;moment;securingtheskies
101	2001	0	siemens;announced;termination;business
102	2010	7	dronedropped;munition;strike;footage;ukrainian;503rd;separate;marine;battalion;targeting;force;eastern;front;ukraine
103	2022	0	meat;store;kaliningrad;region;poster;man;left;restore;russia;greatness
104	2005	0	ukrainian;dronedropped;munition;strike;tank;claimed;t90;mbt;southern;ukraine;ukraine
105	2006	0	documented;domestically;ukrainian;punisher;drone;war;result;forward;basegathering;point;destroyed;ht;arslonxudosi;ukraine
106	2002	7	artillery;shelling;ukrainian;28th;mechanized;brigade;position;southern;front;ukraine
